"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "TypeScript", "HTML", "YAML", "Ignore", "Shell Script", "comment", "blank", "total"
"c:\Users\Default\source\repos\iTemper-Device\.VSCodeCounter\details.md", "Markdown", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40
"c:\Users\Default\source\repos\iTemper-Device\.VSCodeCounter\results.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Default\source\repos\iTemper-Device\.config.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Default\source\repos\iTemper-Device\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 1, 17
"c:\Users\Default\source\repos\iTemper-Device\.resin-sync.yml", "YAML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\Default\source\repos\iTemper-Device\CHANGELOG.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Default\source\repos\iTemper-Device\README.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 14, 59
"c:\Users\Default\source\repos\iTemper-Device\ble.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 6
"c:\Users\Default\source\repos\iTemper-Device\device.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Default\source\repos\iTemper-Device\gulpfile.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 0, 0, 3, 5, 62
"c:\Users\Default\source\repos\iTemper-Device\itemper.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Default\source\repos\iTemper-Device\package-lock.json", "JSON", 11233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11234
"c:\Users\Default\source\repos\iTemper-Device\package.json", "JSON", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
"c:\Users\Default\source\repos\iTemper-Device\src\app.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 14, 1, 73
"c:\Users\Default\source\repos\iTemper-Device\src\app.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 7, 23, 72
"c:\Users\Default\source\repos\iTemper-Device\src\core\config.ts", "TypeScript", 0, 0, 0, 0, 86, 0, 0, 0, 0, 0, 18, 104
"c:\Users\Default\source\repos\iTemper-Device\src\core\helpers.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 4, 22
"c:\Users\Default\source\repos\iTemper-Device\src\core\logger.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\Default\source\repos\iTemper-Device\src\core\settings.ts", "TypeScript", 0, 0, 0, 0, 148, 0, 0, 0, 0, 1, 15, 164
"c:\Users\Default\source\repos\iTemper-Device\src\core\shutdown.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Default\source\repos\iTemper-Device\src\features\ble\characteristics\available-wifi-characteristic.ts", "TypeScript", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 5, 77
"c:\Users\Default\source\repos\iTemper-Device\src\features\ble\characteristics\base-characteristic.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 3, 9, 92
"c:\Users\Default\source\repos\iTemper-Device\src\features\ble\characteristics\characteristic-data.ts", "TypeScript", 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 2, 147
"c:\Users\Default\source\repos\iTemper-Device\src\features\ble\characteristics\current-wifi-characteristic.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 4, 53
"c:\Users\Default\source\repos\iTemper-Device\src\features\ble\characteristics\device-characteristic.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 2, 4, 53
"c:\Users\Default\source\repos\iTemper-Device\src\features\ble\index.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Default\source\repos\iTemper-Device\src\features\ble\services\device-info-service.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Default\source\repos\iTemper-Device\src\features\browser\client.ts", "TypeScript", 0, 0, 0, 0, 434, 0, 0, 0, 0, 5, 58, 497
"c:\Users\Default\source\repos\iTemper-Device\src\features\client-service\client-service.ts", "TypeScript", 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 20, 208
"c:\Users\Default\source\repos\iTemper-Device\src\features\device\device-checks.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 10, 37
"c:\Users\Default\source\repos\iTemper-Device\src\features\device\device-log.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 5, 15, 100
"c:\Users\Default\source\repos\iTemper-Device\src\features\device\device-state.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 5, 3, 49
"c:\Users\Default\source\repos\iTemper-Device\src\features\device\device-status.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 3, 54
"c:\Users\Default\source\repos\iTemper-Device\src\features\device\device.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 1, 12, 56
"c:\Users\Default\source\repos\iTemper-Device\src\features\ruuvi\ruuvi-sensor-state.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Default\source\repos\iTemper-Device\src\features\ruuvi\ruuvi-tag.ts", "TypeScript", 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 5, 177
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\sensor-attributes.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 14, 5, 42
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\sensor-data.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 8, 43
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\sensor-log-service.ts", "TypeScript", 0, 0, 0, 0, 201, 0, 0, 0, 0, 7, 15, 223
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\sensor-log.ts", "TypeScript", 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 11, 114
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\sensor-state.ts", "TypeScript", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 16, 129
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\temper-8.ts", "TypeScript", 0, 0, 0, 0, 169, 0, 0, 0, 0, 41, 32, 242
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\temper-gold.ts", "TypeScript", 0, 0, 0, 0, 66, 0, 0, 0, 0, 17, 19, 102
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\usb-controller.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 2, 14, 87
"c:\Users\Default\source\repos\iTemper-Device\src\features\sensors\usb-device.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 0, 0, 10, 23, 138
"c:\Users\Default\source\repos\iTemper-Device\src\features\wifi\index.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Default\source\repos\iTemper-Device\src\public\css\itemper-device.css", "CSS", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 10, 74
"c:\Users\Default\source\repos\iTemper-Device\src\public\css\normalize.css", "CSS", 0, 0, 0, 180, 0, 0, 0, 0, 0, 162, 85, 427
"c:\Users\Default\source\repos\iTemper-Device\src\public\css\skeleton.css", "CSS", 0, 0, 0, 298, 0, 0, 0, 0, 0, 72, 49, 419
"c:\Users\Default\source\repos\iTemper-Device\src\public\index.html", "HTML", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 17, 63
"c:\Users\Default\source\repos\iTemper-Device\src\routes\api.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 3, 1, 39
"c:\Users\Default\source\repos\iTemper-Device\src\routes\index.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 1, 29
"c:\Users\Default\source\repos\iTemper-Device\src\routes\index.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 21, 10, 40
"c:\Users\Default\source\repos\iTemper-Device\src\routes\sensors.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 12, 35
"c:\Users\Default\source\repos\iTemper-Device\src\routes\settings.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 1, 50
"c:\Users\Default\source\repos\iTemper-Device\src\routes\settings.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 8, 60
"c:\Users\Default\source\repos\iTemper-Device\src\settings.json", "JSON", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 95
"c:\Users\Default\source\repos\iTemper-Device\src\types\node-wifi-shims.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Default\source\repos\iTemper-Device\src\types\ruuvi.d.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Default\source\repos\iTemper-Device\tsconfig.browser.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 22
"c:\Users\Default\source\repos\iTemper-Device\tsconfig.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 17, 1, 33
"c:\Users\Default\source\repos\iTemper-Device\tslint.json", "JSON", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"Total", "-", 11486, 109, 218, 542, 2804, 46, 6, 15, 4, 439, 626, 16295
