filename, language, TypeScript, JSON, CSS, HTML, Pug, comment, blank, total
e:\gitrepos\Dev\iTemper-Device\src\app.ts, TypeScript, 38, 0, 0, 0, 0, 75, 36, 149
e:\gitrepos\Dev\iTemper-Device\src\browser\client.ts, TypeScript, 398, 0, 0, 0, 0, 5, 60, 463
e:\gitrepos\Dev\iTemper-Device\src\config.ts, TypeScript, 83, 0, 0, 0, 0, 0, 21, 104
e:\gitrepos\Dev\iTemper-Device\src\logger.ts, TypeScript, 27, 0, 0, 0, 0, 0, 7, 34
e:\gitrepos\Dev\iTemper-Device\src\models\browser-service.ts, TypeScript, 153, 0, 0, 0, 0, 0, 24, 177
e:\gitrepos\Dev\iTemper-Device\src\models\sensor-attributes.ts, TypeScript, 27, 0, 0, 0, 0, 0, 3, 30
e:\gitrepos\Dev\iTemper-Device\src\models\sensor-data.ts, TypeScript, 35, 0, 0, 0, 0, 0, 8, 43
e:\gitrepos\Dev\iTemper-Device\src\models\sensor-log.ts, TypeScript, 176, 0, 0, 0, 0, 23, 32, 231
e:\gitrepos\Dev\iTemper-Device\src\models\sensor-state.ts, TypeScript, 123, 0, 0, 0, 0, 0, 20, 143
e:\gitrepos\Dev\iTemper-Device\src\models\settings.ts, TypeScript, 142, 0, 0, 0, 0, 1, 23, 166
e:\gitrepos\Dev\iTemper-Device\src\models\temper-8.ts, TypeScript, 173, 0, 0, 0, 0, 41, 33, 247
e:\gitrepos\Dev\iTemper-Device\src\models\temper-gold.ts, TypeScript, 68, 0, 0, 0, 0, 17, 23, 108
e:\gitrepos\Dev\iTemper-Device\src\models\usb-controller.ts, TypeScript, 74, 0, 0, 0, 0, 2, 17, 93
e:\gitrepos\Dev\iTemper-Device\src\models\usb-device.ts, TypeScript, 110, 0, 0, 0, 0, 10, 23, 143
e:\gitrepos\Dev\iTemper-Device\src\public\css\itemper-device.css, CSS, 0, 0, 64, 0, 0, 0, 10, 74
e:\gitrepos\Dev\iTemper-Device\src\public\css\normalize.css, CSS, 0, 0, 180, 0, 0, 162, 85, 427
e:\gitrepos\Dev\iTemper-Device\src\public\css\skeleton.css, CSS, 0, 0, 298, 0, 0, 72, 49, 419
e:\gitrepos\Dev\iTemper-Device\src\public\index.html, HTML, 0, 0, 0, 45, 0, 0, 16, 61
e:\gitrepos\Dev\iTemper-Device\src\routes\api.ts, TypeScript, 20, 0, 0, 0, 0, 3, 12, 35
e:\gitrepos\Dev\iTemper-Device\src\routes\index.ts, TypeScript, 9, 0, 0, 0, 0, 21, 10, 40
e:\gitrepos\Dev\iTemper-Device\src\routes\settings.ts, TypeScript, 49, 0, 0, 0, 0, 3, 8, 60
e:\gitrepos\Dev\iTemper-Device\src\settings.json, JSON, 0, 93, 0, 0, 0, 0, 2, 95
e:\gitrepos\Dev\iTemper-Device\src\views\error.pug, Pug, 0, 0, 0, 0, 5, 0, 1, 6
e:\gitrepos\Dev\iTemper-Device\src\views\index.pug, Pug, 0, 0, 0, 0, 4, 0, 1, 5
e:\gitrepos\Dev\iTemper-Device\src\views\layout.pug, Pug, 0, 0, 0, 0, 7, 0, 0, 7
Total, -, 1705, 93, 542, 45, 16, 435, 524, 3360
